PAC,"kcolorchooser","Color Chooser"
PAC,"kdiff3","A file comparator/merge tool"
PAC,"kimageannotator","Tool for annotating images"
PAC,"krename","A very powerful batch file renamer"
PAC,"krusader","Advanced twin panel (commander style) file manager"
PAC,"labwc","stacking wayland compositor with look and feel from openbox"
PAC,"lazygit","Simple terminal UI for git commands"
PAC,"lib32-libglvnd","The GL Vendor-Neutral Dispatch library"
PAC,"lib32-libx11","X11 client-side library (32-bit)"
PAC,"libdvdcss","Portable abstraction library for DVD decryption"
PAC,"libnotify","Library for sending desktop notifications"
PAC,"libreoffice-still-de","German language pack for LibreOffice still"
PAC,"libtool","A generic library support script"
PAC,"libvirt","API for controlling virtualization engines (openvz,kvm,qemu,virtualbox,xen,etc)"
PAC,"linux","The Linux kernel and modules"
PAC,"linux-firmware","Firmware files for Linux - Default set"
PAC,"linux-headers","Headers and scripts for building modules for the Linux kernel"
PAC,"linux-lts","The LTS Linux kernel and modules"
PAC,"linux-lts-headers","Headers and scripts for building modules for the LTS Linux kernel"
PAC,"linux-zen","The Linux ZEN kernel and modules"
PAC,"linux-zen-headers","Headers and scripts for building modules for the Linux ZEN kernel"
PAC,"lnav","A curses-based tool for viewing and analyzing log files"
PAC,"lsb-release","LSB version query program"
PAC,"lsp-plugins-lv2","Collection of open-source plugins - LV2"
PAC,"luarocks","Deployment and management system for Lua modules"
PAC,"lvm2","Logical Volume Manager 2 utilities"
PAC,"lynx","A text browser for the World Wide Web"
PAC,"m4","The GNU macro processor"
PAC,"magic-wormhole","Securely transfer data between computers"
PAC,"make","GNU make utility to maintain groups of programs"
PAC,"man-db","A utility for reading man pages"
PAC,"man-pages","Linux man pages"
PAC,"mc","A file manager that emulates Norton Commander"
PAC,"mediainfo","Supplies technical and tag information about media files (CLI interface)"
PAC,"meld","Compare files, directories and working copies"
PAC,"mesa-utils","Essential Mesa utilities"
PAC,"moreutils","A growing collection of the unix tools that nobody thought to write thirty years ago"
PAC,"mosh","Mobile shell, surviving disconnects with local echo and line editing"
PAC,"mpv","a free, open source, and cross-platform media player"
PAC,"nano","Pico editor clone with enhancements"
PAC,"nautilus","Default file manager for GNOME"
PAC,"ncdu","Disk usage analyzer with an ncurses interface"
PAC,"neovim","Fork of Vim aiming to improve user experience, plugins, and GUIs"
PAC,"netscanner","Network scanner"
PAC,"network-manager-applet","Applet for managing network connections"
PAC,"networkmanager","Network connection manager and user applications"
PAC,"nfs-utils","Support programs for Network File Systems"
PAC,"nginx","Lightweight HTTP server and IMAP/POP3 proxy server"
PAC,"npm","JavaScript package manager"
PAC,"nss-mdns","glibc plugin providing host name resolution via mDNS"
PAC,"ntp","Network Time Protocol reference implementation"
PAC,"obs-studio","Free, open source software for live streaming and recording"
PAC,"opensmtpd","Free implementation of the server-side SMTP protocol"
PAC,"openssh","SSH protocol implementation for remote login, command execution and file transfer"
PAC,"os-prober","Utility to detect other OSes on a set of drives"
PAC,"pacman","A library-based package manager with dependency support"
PAC,"pacman-contrib","Contributed scripts and tools for pacman systems"
PAC,"pamixer","Pulseaudio command-line mixer like amixer"
PAC,"pandoc-cli","Conversion between documentation formats"
PAC,"patch","A utility to apply patch files to original sources"
PAC,"pdfarranger","Helps merge or split PDF documents and rotate, crop and rearrange pages"
PAC,"perf","Linux kernel performance auditing tool"
PAC,"perl-image-exiftool","Reader and rewriter of EXIF information that supports raw files"
PAC,"pigz","Parallel implementation of the gzip file compressor"
PAC,"pipewire","Low-latency audio/video router and processor"
PAC,"pipewire-pulse","Low-latency audio/video router and processor - PulseAudio replacement"
PAC,"pkgconf","Package compiler and linker metadata toolkit"
PAC,"podman","Tool and library for running OCI-based containers in pods"
PAC,"polkit-gnome","Legacy polkit authentication agent for GNOME"
PAC,"poppler","PDF rendering library based on xpdf 3.0"
PAC,"pulsemixer","CLI and curses mixer for pulseaudio"
PAC,"python-adblock","Brave's adblock library in Python"
PAC,"python-mutagen","An audio metadata tag reader and writer (python library)"
PAC,"python-pipx","Install and Run Python Applications in Isolated Environments"
PAC,"python-pynvim","Python client for Neovim"
PAC,"qalculate-gtk","GTK frontend for libqalculate"
PAC,"qemu-full","A full QEMU setup"
PAC,"qpwgraph","PipeWire Graph Qt GUI Interface"
PAC,"qt5-wayland","Provides APIs for Wayland"
PAC,"qt6-wayland","Provides APIs for Wayland"
PAC,"qutebrowser","A keyboard-driven, vim-like browser based on Python and Qt"
PAC,"recoll","Full text search tool based on Xapian backend"
PAC,"reflector","A Python 3 module and script to retrieve and filter the latest Pacman mirror list."
PAC,"remmina","Remote desktop client written in GTK+"
PAC,"ripgrep","A search tool that combines the usability of ag with the raw speed of grep"
PAC,"ripgrep-all","rga: ripgrep, but also search in PDFs, E-Books, Office documents, zip, tar.gz, etc."
PAC,"rsync","A fast and versatile file copying tool for remote and local files"
PAC,"rust","Systems programming language focused on safety, speed and concurrency"
PAC,"rxvt-unicode","Unicode enabled rxvt-clone terminal emulator (urxvt)"
PAC,"s-tui","Terminal UI stress test and monitoring tool"
PAC,"s3cmd","A command line client for Amazon S3"
PAC,"samba","SMB Fileserver and AD Domain server"
PAC,"sane","Scanner Access Now Easy"
PAC,"sane-airscan","SANE - SANE backend for AirScan (eSCL) and WSD document scanners"
PAC,"sbcl","Steel Bank Common Lisp"
PAC,"sed","GNU stream editor"
PAC,"signal-desktop","Signal Private Messenger for Linux"
PAC,"slurp","Select a region in a Wayland compositor"
PAC,"socat","Multipurpose relay"
PAC,"solaar","Linux device manager for a wide range of Logitech devices"
PAC,"spotify-player","A command driven spotify player"
PAC,"stress","A tool that stress tests your system (CPU, memory, I/O, disks)"
PAC,"sudo","Give certain users the ability to run some commands as root"
PAC,"swappy","A Wayland native snapshot editing tool"
PAC,"sway","Tiling Wayland compositor and replacement for the i3 window manager"
PAC,"swayidle","Idle management daemon for Wayland"
PAC,"swaylock","Screen locker for Wayland"
PAC,"tcpdump","Powerful command-line packet analyzer"
PAC,"tealdeer","A fast tldr client in Rust"
PAC,"tecla","Keyboard layout viewer"
PAC,"texinfo","GNU documentation system for on-line information and printed output"
PAC,"thunar","Modern, fast and easy-to-use file manager for Xfce"
PAC,"thunar-archive-plugin","Adds archive operations to the Thunar file context menus"
PAC,"thunderbird","Standalone mail and news reader from mozilla.org"
PAC,"tigervnc","Suite of VNC servers and clients based on the VNC 4 branch of TightVNC"
PAC,"timeshift","A system restore utility for Linux"
PAC,"tmux","Terminal multiplexer"
PAC,"transmission-cli","Fast, easy, and free BitTorrent client (CLI tools, daemon and web client)"
PAC,"trash-cli","Command line trashcan (recycle bin) interface"
PAC,"ttf-liberation","Font family which aims at metric compatibility with Arial, Times New Roman, and Courier New"
PAC,"ttf-linux-libertine","Serif (Libertine) and Sans Serif (Biolinum) OpenType fonts with large Unicode coverage"
PAC,"ttf-noto-nerd","Patched font Noto from nerd fonts library"
PAC,"ttyper","Terminal-based typing test"
PAC,"tumbler","Thumbnail service implementing the thumbnail management D-Bus specification"
PAC,"udiskie","Removable disk automounter using udisks"
PAC,"udisks2","Daemon, tools and libraries to access and manipulate disks, storage devices and technologies"
PAC,"ufw","Uncomplicated and easy to use CLI tool for managing a netfilter firewall"
PAC,"unclutter","A small program for hiding the mouse cursor"
PAC,"unison","File-synchronization tool"
